subj,exp_id,ses_id,marker,object,mag,amp,dur,timestamp
010,1,1,layout11,sacc,23.252404,597.234953,0.098647,1.445316
006,1,1,layout11,sacc,3.564109,86.197754,0.049304,0.131471
006,1,1,layout11,sacc,3.478343,79.191277,0.048904,0.213733
006,1,1,layout11,sacc,18.167650,418.564568,0.081975,0.542389
006,1,1,layout11,sacc,16.561142,371.675573,0.082077,0.772026
006,1,1,layout11,sacc,17.665757,479.131340,0.081744,1.938641
006,1,1,layout11,sacc,7.245192,173.159914,0.098807,2.086006
006,1,1,layout11,sacc,17.652220,585.213836,0.147871,3.137730
006,1,1,layout11,sacc,18.200935,513.278774,0.098335,4.107354
018,1,1,layout3,sacc,11.026066,228.840702,0.049205,0.213567
018,1,1,layout3,sacc,20.587927,420.004740,0.082352,0.509283
018,1,1,layout3,sacc,18.255498,600.009420,0.115352,1.149725
018,1,1,layout3,sacc,20.180772,526.111262,0.082281,1.741542
018,1,1,layout3,sacc,24.553366,577.377090,0.065308,2.234432
018,1,1,layout3,sacc,18.041584,355.965301,0.098259,3.646954
018,1,1,layout3,sacc,22.988902,520.554140,0.065896,3.877086
018,1,1,layout2,sacc,7.574687,174.213497,0.081879,0.148409
018,1,1,layout2,sacc,13.383105,307.169293,0.098323,0.427630
018,1,1,layout2,sacc,4.255244,115.658180,0.049515,0.723113
018,1,1,layout2,sacc,19.884927,616.882287,0.131571,0.969185
018,1,1,layout2,sacc,23.829800,526.897936,0.081988,1.626781
018,1,1,layout2,sacc,18.838924,394.873493,0.098606,2.201431
018,1,1,layout2,sacc,24.351080,619.500450,0.065592,3.121706
006,1,1,layout10,sacc,19.762466,450.328677,0.098369,0.394542
006,1,1,layout10,sacc,19.985591,456.311215,0.098709,0.542270
006,1,1,layout10,sacc,19.266983,414.562944,0.115469,1.757907
006,1,1,layout10,sacc,20.415868,593.156511,0.115194,3.039523
006,1,1,layout10,sacc,4.406366,99.071836,0.048986,3.302543
006,1,1,layout10,sacc,22.649823,502.282965,0.114893,3.581780
012,1,1,layout9,sacc,23.022832,467.172452,0.065668,0.328608
012,1,1,layout9,sacc,22.884321,399.055926,0.049275,1.034999
012,1,1,layout8,sacc,19.891202,433.244265,0.065611,0.164310
012,1,1,layout8,sacc,20.715841,368.682266,0.065665,1.018527
015,1,1,layout0,sacc,15.178563,286.886672,0.082089,0.164385
015,1,1,layout0,sacc,32.069406,166.835224,0.229970,0.427196
015,1,1,layout0,sacc,17.714717,299.761919,0.065742,0.854338
015,1,1,layout0,sacc,24.522924,554.125096,0.065646,1.199374
015,1,1,layout0,sacc,18.972686,499.409501,0.098694,1.839902
015,1,1,layout1,sacc,30.441478,243.698770,0.213598,0.377475
015,1,1,layout1,sacc,27.755033,391.564560,0.295727,0.640344
015,1,1,layout1,sacc,37.353125,409.131127,0.246414,1.281011
015,1,1,layout1,sacc,22.780131,187.921772,0.230057,1.593168
015,1,1,layout1,sacc,21.299466,354.430372,0.065762,2.217423
015,1,1,layout1,sacc,18.573654,441.987400,0.082197,2.431042
006,1,1,layout7,sacc,17.780899,428.085868,0.114699,0.673936
006,1,1,layout7,sacc,5.782130,104.458778,0.065769,1.150339
006,1,1,layout7,sacc,21.574339,585.111807,0.098571,1.593732
006,1,1,layout7,sacc,22.264932,624.161999,0.098886,2.234210
